Numéro billet;Inscrit;Prénom participant;Nom participant;Paiement;Montant dû;Moyen de paiement;Prestations;Acheté par;Prénom;Nom;Identifiant;Email de l'acheteur;Date de paiement;Date de création;Activités + Afterwork - Adhérent Cannes Is Up [Supprimé];JOURNEE ET SOIREE - Activités + Afterwork (à partir de 9h30 jusqu'à 23h) - SELECTIONNEZ POUR FAIRE AFFICHER LA REDUCTION;Afterwork Uniquement - Adhérent Cannes Is Up [Supprimé];JOURNEE ET SOIREE - Activités uniquement (à partir de 9h30 jusqu'à 18h) - SELECTIONNEZ POUR FAIRE AFFICHER LA REDUCTION;JOURNEE ET SOIREE - Afterwork uniquement (18h - 23h) - SELECTIONNEZ POUR FAIRE AFFICHER LA REDUCTION;NUIT - Continuer la fête et dormir sur l'île (23h - 8h);NUIT - Continuer la fête et dormir sur l'île (23h - 8h) [Supprimé];Société;Fonction;Choix d'atelier n°1 (les ateliers** doublent vos jetons !);Lunch pack;Choix du moyen de transport à l'aller;Choix du moyen de transport au retour;J'accepte qu'on utilise mes informations, et qu'on me photographie, à des fins de communication.;Choix d'atelier n°2 (les ateliers** doublent vos jetons !);Choix d'atelier n°3 (les ateliers** doublent vos jetons !);Choix d'atelier n°5 (les ateliers** doublent vos jetons !);Ville Société;Je m'inscris à la newsletter de Cannes Is Up et accepte d'être contacté par email;Choix d'atelier n°4 (les ateliers** doublent vos jetons !);La rencontre avec les décideurs est réservée aux sociétés innovantes. Quelle est votre innovation?;Détail
;Baldwin Leonard;Baldwin;Leonard;;;;;;;;;baldwinleonard@futurity.com;;;;;;;;;;;;Poker par ALPHA CONSEILS**;;;;;Massages( atelier contre 1 jeton)**;Kayak**;Météo: Selerys**;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
;Eileen Jaconson;Eileen;Jacobson;;;;;;;;;eileenjacobson@ginkle.com;;;;;;;;;;;;Charisme et Leadership**;;;;;Basket par O'SOL**;Poker par ALPHA CONSEILS**;Météo: Selerys**;;;Storytelling**;;
;Sykes Holt;Sykes;Holt;;;;;;;;;sykesholt@zinca.com;;;;;;;;;;;;Ping-Pong**;;;;;Basket par O'SOL**;Paddle;Météo: Selerys**;;;Storytelling**;;
;Witt Yates;Witt;Yates;;;;;;;;;wittyates@dancity.com;;;;;;;;;;;;Paddle**;;;;;Pétanque par BLUE BEACON;Kayak**;Météo: Selerys**;;;Storytelling**;;
;Daniel French;Daniel;French;;;;;;;;;"danielfrench@yogasm.com""";;;;;;;;;;;;Kayak**;;;;;Kayak;Whimsifoil : volez au-dessus de l'eau !;Météo: Selerys**;;;Storytelling**;;
;Lucas Strong;Lucas;Strong;;;;;;;;;lucasstrong@signidyne.com;;;;;;;;;;;;Atelier des sens par LES CONFISERIES FLORAIN**;;;;;Basket par O'SOL**;Whimsifoil : volez au-dessus de l'eau !;Météo: Selerys**;;;Storytelling**;;
;Bettie Banks;Bettie;Banks;;;;;;;;;bettiebanks@miraclis.com;;;;;;;;;;;;Pétanque par BLUE BEACON**;;;;;Pétanque par BLUE BEACON;Ping-Pong**;Météo: Selerys**;;;"Visite guidée: ""Le Masque de fer: un secret d'Etat?""**";;
;Sofia Barnett;Sofia;Barnett;;;;;;;;;sofiabarnet@hotm.com;;;;;;;;;;;;Basket par O'SOL**;;;;;Charisme et Leadership**;Quiz Cinéma par ADASTRA FILMS**;Météo: Selerys**;;; ;;
;Stella Graham;Stella;Graham;;;;;;;;;stellagraham@centuria.com;;;;;;;;;;;;Tir à l'arc**;;;;;Ping-Pong**;Branding:comment valoriser votre marque par COULEUR VELVET**;Météo: Selerys**;;;"Visite guidée: ""Le Masque de fer: un secret d'Etat?""**";;
;Kathrine Guerra;Katharine;Guerra;;;;;;;;;kathrineguerra@hyuj.com;;;;;;;;;;;;Tir à l'arc**;;;;;Référencement Google par BRAINY UP**;Whimsifoil : volez au-dessus de l'eau !;Météo: Selerys**;;;"Visite guidée: ""Le Masque de fer: un secret d'Etat?""**";;
;Natalie Dominguez;Natalie;Dominguez;;;;;;;;;nataliedominguez@hytre.com;;;;;;;;;;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;;;;;Quiz Cinéma par ADASTRA FILMS**;Storytelling**;Massage (contre 1 jeton)**;;;"Visite guidée: ""Le Masque de fer: un secret d'Etat?""**";;
;Rosario Morin;Rosario;Morin;;;;;;;;;rosariomorin@aquacine.com;;;;;;;;;;;;Branding: comment valoriser votre marque par COULEUR VELVET**;;;;;Gastronomie azuréenne - live cooking par MONPANIERBLEU.COM**;Storytelling**;Massage (contre 1 jeton)**;;;"Visite guidée: ""Le Masque de fer: un secret d'Etat?""**";;
;Tina Jennings;Tina;Jennings;;;;;;;;;tinajennings@reza.com;;;;;;;;;;;;"Visite guidée:"" Le Masque de fer: un secret d'Etat?""**";;;;;Storytelling**;Atelier des sens par LES CONFISERIES FLORIAN**;Massage (contre 1 jeton)**;;;"Visite guidée: ""Le Masque de fer: un secret d'Etat?""**";;
;Lorena Martin;Lorena;Martin;;;;;;;;;lorenamartin@trez.com;;;;;;;;;;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;;;;Storytelling**;Pétanque par BLUE BEACON**;Massage (contre 1 jeton)**;;;"Visite guidée: ""Le Masque de fer: un secret d'Etat?""**";;
;Marko Martinez;Marko;Martinez;;;;;;;;;markomartinez@srb.com;;;;;;;;;;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;;;;Branding: comment valoriser votre marque par COULEUR VELVET**;Basket par O'SOL**;Massage (contre 1 jeton)**;;;"Visite guidée: ""Le Masque de fer: un secret d'Etat?""**";;
;Garrison Logan;Garrison;Logan;;;;;;;;;garrisonlogan@lotron.com;;;;;;;;;;;;Branding: comment valoriser votre marque par COULEUR VELVET**;;;;;"Visite guidée : ""Le Masque de fer : un secret d'Etat?""";Kayak**;Massage (contre 1 jeton)**;;;"Visite guidée: ""Le Masque de fer: un secret d'Etat?""**";;
;Dana Hurley;Dana;Hurley;;;;;;;;;hanadurley@buts.com;;;;;;;;;;;;Storytelling**;;;;;Tir à l'arc**;Paddle;Massage (contre 1 jeton)**;;;"Visite guidée: ""Le Masque de fer: un secret d'Etat?""**";;
;Sanford Cochran;Sanford;Cochran;;;;;;;;;sanfordcochran@earwax.com;;;;;;;;;;;;Biodiversité & Environnement par le CPIE**;;;;;Yoga par ETIOLES DES SABLES**;Comptabilité Gestion par PEPIT**;Massage (contre 1 jeton)**;;;"Visite guidée: ""Le Masque de fer: un secret d'Etat?""**";;
;Evelyn Steele;Evelyn;Steele;;;;;;;;;evelynsteele@ole.com;;;;;;;;;;;;Basket par O'SOL**;;;;;Poker par ALPHA CONSEILS**;Comptabilité Gestion par PEPIT**;Casse-tete par Enigm'art**;;;"Visite guidée: ""Le Masque de fer: un secret d'Etat?""**";;
;Minerva Mejia;Minerva;Mejia;;;;;;;;;minervamejia@playce.com;;;;;;;;;;;;Kayak**;;;;;Basket par O'SOL**;Comptabilité Gestion par PEPIT**;Casse-tete par Enigm'art**;;; ;;
;Ester Bass;Ester;Bass;;;;;;;;;esterbass@open.com;;;;;;;;;;;;Charisme et Leadership**;;;;;Massages( atelier contre 1 jeton)**;Basket par O'SOL**;Casse-tete par Enigm'art**;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
;Harriett Michael;Harriett;Michael;;;;;;;;;harriettmichael@verbus.com;;;;;;;;;;;;Référencement Google par BRAINYUP**;;;;;Massages( atelier contre 1 jeton)**;Basket par O'SOL**;Casse-tete par Enigm'art**;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
;Wolf Anderson;Wolf;Anderson;;;;;;;;;wolfanderson@dooor.com;;;;;;;;;;;;Quiz Cinéma par ADASTRA FILMS**;;;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;Massages (contre 1 jeton !);Casse-tete par Enigm'art**;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
;Petersen Juarez;Petersen;Juarez;;;;;;;;;petersenjuarez@darwinium.com;;;;;;;;;;;;Branding: comment valoriser votre marque par COULEUR VELVET**;;;;;Charisme et Leadership**;Ping-Pong**;Casse-tete par Enigm'art**;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
;Deena Dean;Deena;Dean;;;;;;;;;deenadean@crustatia.com;;;;;;;;;;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;;;;Charisme et Leadership**;Ping-Pong**;Casse-tete par Enigm'art**;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
;Terry Howe;Terry;Howe;;;;;;;;;terryhowe@ujytr.com;;;;;;;;;;;;Storytelling**;;;;;Référencement Google par BRAINY UP**;Charisme et Leadership**;Casse-tete par Enigm'art**;;;Réséaux Sociaux**;;
;Sanchez Hudson;Sanchez;Hudson;;;;;;;;;sanchezhudson@xylar.com;;;;;;;;;;;;"Visite guidée:"" Le Masque de fer: un secret d'Etat?""**";;;;;Ping-Pong**;Quiz Cinéma par ADASTRA FILMS**;Casse-tete par Enigm'art**;;;Réséaux Sociaux**;;
;Rose Oconnor;Rose;Oconnor;;;;;;;;;roseoconnor@callflex.com;;;;;;;;;;;;Yoga par ETOILES DES SABLES;;;;;Quiz Cinéma par ADASTRA FILMS**;Storytelling**;Casse-tete par Enigm'art**;;;Réséaux Sociaux**;;
;Schmidt Hines;Schmidt;Hines;;;;;;;;;schmidthines@enormo.com;;;;;;;;;;;;Biodiversité & Environnement par le CPIE**;;;;;Branding: comment valoriser votre marque par COULEUR VELVET**; ; ;;; ;;
;Ratliff Whitfiels;Ratliff;Whitfield;;;;;;;;;ratliffwhitfield@quilm.com;;;;;;;;;;;;Atelier des sens par LES CONFISERIES FLORAIN**;;;;;Storytelling**;Yoga par ETOILES DES SABLES**;Pétanque par BLEU BEACON**;;;Branding:comment valoriser votre marque parCOULEUR VELVET**;;
;Merrill Stone;Merrill;Stone;;;;;;;;;merrillstone@gile.com;;;;;;;;;;;;Poker par ALPHA CONSEILS**;;;;;Gastronomie azuréenne - live cooking par MONPANIERBLEU.COM**;Yoga par ETOILES DES SABLES**;Pétanque par BLEU BEACON**;;;Branding:comment valoriser votre marque parCOULEUR VELVET**;;
;Manuela Day;Manuela;Day;;;;;;;;;manueladay@comvey.com;;;;;;;;;;;;Massages (atelier contre 1 jeton)**;;;;;"Visite guidée : ""Le Masque de fer : un secret d'Etat?""";Yoga par ETOILES DES SABLES**;Pétanque par BLEU BEACON**;;;Branding:comment valoriser votre marque parCOULEUR VELVET**;;
;Miller Pace;Miller;Pace;;;;;;;;;millerpace@unix.com;;;;;;;;;;;;Massages (atelier contre 1 jeton)**;;;;;Yoga par ETIOLES DES SABLES**;"Visite guidée: ""Le Masque de fer: un secret d'Etat ?""**";Pétanque par BLEU BEACON**;;;"Visite guidée: ""Le Masque de fer: un secret d'Etat?""**";;
;Aimee Diaz;Aimee;Diaz;;;;;;;;;aimeediaz@juhu.com;;;;;;;;;;;;Basket par O'SOL**;;;;;Biodiversité & Environnement par le CPIE**;"Visite guidée: ""Le Masque de fer: un secret d'Etat ?""**";Pétanque par BLEU BEACON**;;;Réséaux Sociaux**;;
;Juliet Robinson;Juliet;Robinson;;;;;;;;;julietrobinson@rodeology.com;;;;;;;;;;;;Pétanque par BLUE BEACON**;;;;;Atelier des sens par LES CONFISERIES FLORIAN**;"Visite guidée: ""Le Masque de fer: un secret d'Etat ?""**";Pétanque par BLEU BEACON**;;;Branding:comment valoriser votre marque parCOULEUR VELVET**;;
;Katrina Bowen;Katrina;Bowen;;;;;;;;;katrinabowen@isologics.com;;;;;;;;;;;;Kayak**;;;;;Atelier des sens par LES CONFISERIES FLORIAN**;"Visite guidée: ""Le Masque de fer: un secret d'Etat ?""**";Pétanque par BLEU BEACON**;;;Branding:comment valoriser votre marque parCOULEUR VELVET**;;
;Mitzi Mathis;Mitzi;Mathis;;;;;;;;;mitzimathis@lyrichord.com;;;;;;;;;;;;Paddle**;;;;;Poker par ALPHA CONSEILS**;"Visite guidée: ""Le Masque de fer: un secret d'Etat ?""**";Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM**;;;Branding:comment valoriser votre marque parCOULEUR VELVET**;;
;Elsa Brock;Elsa;Brock;;;;;;;;;elsabroc@unix.com;;;;;;;;;;;;Tir à l'arc**;;;;;Atelier des sens par LES CONFISERIES FLORIAN**;"Visite guidée: ""Le Masque de fer: un secret d'Etat ?""**";Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM**;;;Branding:comment valoriser votre marque parCOULEUR VELVET**;;
;Carmela Dixon;Carmela;Dixon;;;;;;;;;carmeladixon@terascape.com;;;;;;;;;;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;;;;;Massages( atelier contre 1 jeton)**;"Visite guidée: ""Le Masque de fer: un secret d'Etat ?""**";Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM**;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
;Steele Waters;Steele;Waters;;;;;;;;;steelewaters@kyaguru.com;;;;;;;;;;;;Assurance par GAN**;;;;;Basket par O'SOL**;Massages (contre 1 jeton !);Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM**;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
;Hudson Lowe;Hudson;Lowe;;;;;;;;;hudsonlowe@kaggle.com;;;;;;;;;;;;Assurance par GAN**;;;;;Pétanque par BLUE BEACON;Massages (contre 1 jeton !);Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM**;;;Yoga par ETOILES DES SABLES**;;
;Hinton Tate;Hinton;Tate;;;;;;;;;hintontate@songbird.com;;;;;;;;;;;;"Visite guidée:"" Le Masque de fer: un secret d'Etat?""**";;;;;Kayak;Massages (contre 1 jeton !);Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM**;;;Yoga par ETOILES DES SABLES**;;
;Hunt Todd;Hunt;Todd;;;;;;;;;hunttodd@zounds.com;;;;;;;;;;;;Yoga par ETOILES DES SABLES;;;;;Tir à l'arc**;Massages (contre 1 jeton !);Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM**;;;Yoga par ETOILES DES SABLES**;;
;Sheppard Preston;Sheppard;Preston;;;;;;;;;sheppardpreston@waterbaby.com;;;;;;;;;;;;Biodiversité & Environnement par le CPIE**;;;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;Charisme et Leadership**; ;;; ;;
;Audra Dodson;Audra;Dodson;;;;;;;;;audradodson@quailcom.com;;;;;;;;;;;;Atelier des sens par LES CONFISERIES FLORAIN**;;;;;Assurance par GAN**;Charisme et Leadership**;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM**;;;Yoga par ETOILES DES SABLES**;;
;Maxine Francise;Maxine;Francise;;;;;;;;;maxinefrancis@extrawear.com;;;;;;;;;;;;Poker par ALPHA CONSEILS**;;;;;Comptabilité Gestion par PEPIT**;Charisme et Leadership**;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM**;;;Yoga par ETOILES DES SABLES**;;
;Aguirre Shaffer;Auguirre;Shaffer;;;;;;;;;aguirreshaffer@hometown.com;;;;;;;;;;;;Massages (atelier contre 1 jeton)**;;;;;Comptabilité Gestion par PEPIT**;Charisme et Leadership**;Poker par ALPHA CONSEILS**;;;Yoga par ETOILES DES SABLES**;;
;Tamika Ellison;Tamika;Ellison;;;;;;;;;tamikaellison@sentia.com;;;;;;;;;;;;Basket par O'SOL**;;;;;Météo: Selerys**;Comptabilité Gestion par PEPIT**;Poker par ALPHA CONSEILS**;;;Yoga par ETOILES DES SABLES**;;
;Joyner Alston;Joyner;Alston;;;;;;;;;joyneralston@cedward.com;;;;;;;;;;;;Pétanque par BLUE BEACON**;;;;;Réseaux Sociaux**;Comptabilité Gestion par PEPIT**;Poker par ALPHA CONSEILS**;;;Yoga par ETOILES DES SABLES**;;
;Levine Vargas;Levine;Vargas;;;;;;;;;levinevargas@surelogic.com;;;;;;;;;;;;Kayak**;;;;;Réseaux Sociaux**;Comptabilité Gestion par PEPIT**;Poker par ALPHA CONSEILS**;;;Météo: Selerys**;;
;Lakeisha Sutton;Lakeisha;Sutton;;;;;;;;;lakeishasutton@canopoly.com;;;;;;;;;;;;Paddle**;;;;;Création et quizz parfum par MOLINARD et ROBERTET**;Comptabilité Gestion par PEPIT**; ;;; ;;
;Terra Poole;Terra;Poole;;;;;;;;;terrapoole@hule.com;;;;;;;;;;;;Tir à l'arc**;;;;;Whimsifoil : volez au-dessus de l'eau !;Pétanque par BLUE BEACON**;Ping-Pong;;;Météo: Selerys**;;
;Samantha Klein;Samantha;Klein;;;;;;;;;samanthaklein@ginkogene.com;;;;;;;;;;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;;;;;Droit de l'innovation TBC**;Pétanque par BLUE BEACON**;Ping-Pong;;;Météo: Selerys**;;
;Bonner Hyde;Bonner;Hyde;;;;;;;;;bonnerhyde@lunchpod.com;;;;;;;;;;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;;;;;Droit de l'innovation TBC**;Pétanque par BLUE BEACON**;Ping-Pong;;;Météo: Selerys**;;
;Haley Pitts;Haley;Pitts;;;;;;;;;haleypitts@xurban.com;;;;;;;;;;;;Comptabilité Gestion par PEPIT**;;;;;Casse-tete par Enigm'art**;Kayak**;Comptabilité Gestion par PEPIT**;;;Assurance par GAN**;;
;Holloway Dawson;Holloway;Dawson;;;;;;;;;hollowaydawson@acium.com;;;;;;;;;;;;Comptabilité Gestion par PEPIT**;;;;;Casse-tete par Enigm'art**;Kayak**;Assurance par GAN;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;;
;Ramona Rivers;Ramona;Rivers;;;;;;;;;ramonarivers@unix.com;;;;;;;;;;;;Réseaux Sociaux**;;;;;Gastronomie azuréenne - live cooking par MONPANIERBLEU.COM**;Kayak**;Assurance par GAN;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;;
;Myra Mcdowell;Myra;Mcdowell;;;;;;;;;myramcdowell@tripsch.com;;;;;;;;;;;;Réseaux Sociaux**;;;;;"Visite guidée : ""Le Masque de fer : un secret d'Etat?""";Paddle;Assurance par GAN;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;;
;Whitaker Williams;Whitaker;Williams;;;;;;;;;whitakerwilliams@aquoavo.com;;;;;;;;;;;;Météo: Selerys;;;;;Yoga par ETIOLES DES SABLES**;Paddle;Biodiversité & Environnement par CPIE**;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;;
;Susana Pate;Susana;Pate;;;;;;;;;susanapate@sara.com;;;;;;;;;;;;Casse-tete par Enigm'art**;;;;;Biodiversité & Environnement par le CPIE**;Paddle;Basket par O'SOL**;;; ;;
;Knox Baker;Knox;Baker;;;;;;;;;knoxbaker@unix.com;;;;;;;;;;;;Comptabilité Gestion par PEPIT**;;;;;Atelier des sens par LES CONFISERIES FLORIAN**;Whimsifoil : volez au-dessus de l'eau !;Basket par O'SOL**;;;Massage(contre 1 jeton)**;;
;Sheri Cook;Sheri;Cook;;;;;;;;;shericook@anixang.com;;;;;;;;;;;;Réseaux Sociaux**;;;;;Poker par ALPHA CONSEILS**;Whimsifoil : volez au-dessus de l'eau !;Biodiversité & Environnement par CPIE**;;;Massage(contre 1 jeton)**;;
;Sawyer Chan;Sawyer;Chan;;;;;;;;;sawyerchen@isotrack.com;;;;;;;;;;;;Météo: Selerys;;;;;Massages( atelier contre 1 jeton)**;Whimsifoil : volez au-dessus de l'eau !;Biodiversité & Environnement par CPIE**;;;Poker par ALPHA CONSEILS**;;
;Carey Nelson;Carey;Nelson;;;;;;;;;careynelson@medifax.com;;;;;;;;;;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;;;;;Basket par O'SOL**;Ping-Pong**;Kayak;;;Poker par ALPHA CONSEILS**;;
;Bass Booker;Bass;Booker;;;;;;;;;bassbooker@globoil.com;;;;;;;;;;;;"Visite guidée:"" Le Masque de fer: un secret d'Etat?""**";;;;;Pétanque par BLUE BEACON;Branding:comment valoriser votre marque par COULEUR VELVET**;Kayak;;;Poker par ALPHA CONSEILS**;;
;Marrow Mason;Marrow;Mason;;;;;;;;;morrowmason@anocha.com;;;;;;;;;;;;"Visite guidée:"" Le Masque de fer: un secret d'Etat?""**";;;;;Kayak;Branding:comment valoriser votre marque par COULEUR VELVET**;Quiz Cinéma par ADASTRA FILMS;;;Pétanque par BLUE BEACON**;;
;Rojas Park;Rojas;Park;;;;;;;;;rojaspark@huli.com;;;;;;;;;;;;Yoga par ETOILES DES SABLES;;;;;Paddle**;Branding:comment valoriser votre marque par COULEUR VELVET**;Quiz Cinéma par ADASTRA FILMS;;;Pétanque par BLUE BEACON**;;
;Bean Tillman;Bean;Tillman;;;;;;;;;beantillman@nimon.com;;;;;;;;;;;;Massages (atelier contre 1 jeton)**;;;;;Tir à l'arc**;Référencement Google par BRAINY UP**;Quiz Cinéma par ADASTRA FILMS;;;Pétanque par BLUE BEACON**;;
;Parks Jacobs;Parks;Jacobs;;;;;;;;;parksjacobs@teraprene.com;;;;;;;;;;;;Droit de l'innovation TBC**;;;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;Référencement Google par BRAINY UP**;Quiz Cinéma par ADASTRA FILMS;;;Pétanque par BLUE BEACON**;;
;Marta Wolf;Marta;Wolf;;;;;;;;;martawolf@hyplex.com;;;;;;;;;;;;Casse-tete par Enigm'art**;;;;;Assurance par GAN**;Référencement Google par BRAINY UP**;Quiz Cinéma par ADASTRA FILMS;;;Pétanque par BLUE BEACON**;;
;Teri Atkins;Teri;Atkins;;;;;;;;;teriatkins@gmail.com;;;;;;;;;;;;Droit de l'innovation TBC**;;;;;Comptabilité Gestion par PEPIT**;Quiz Cinéma par ADASTRA FILMS**;Quiz Cinéma par ADASTRA FILMS;;; ;;
;Bryan Gonzales;Bryan;Gonzales;;;;;;;;;bryangonzales@isbol.com;;;;;;;;;;;;Création et quizz parfum par MOLINARD et ROBERTET**;;;;;Comptabilité Gestion par PEPIT**;Quiz Cinéma par ADASTRA FILMS**;Référencement Google par BRAINY UP**;;;Pétanque par BLUE BEACON**;;
;Allen Watts;Allen;Watts;;;;;;;;;allenwatts@ymail.com;;;;;;;;;;;;Réseaux Sociaux**;;;;;Météo: Selerys**;Quiz Cinéma par ADASTRA FILMS**;Référencement Google par BRAINY UP**;;;Pétanque par BLUE BEACON**;;
;Hammond Alexander;Hammond;Alexander;;;;;;;;;hammondalexander@powernet.com;;;;;;;;;;;;Météo: Selerys;;;;;Réseaux Sociaux**;Météo par SELERYS;Référencement Google par BRAINY UP**;;;Quiz Cinéma par ADASTRA FILMS**;;
;Michael Bright;Michael;Bright;;;;;;;;;michaelbright@boilcat.com;;;;;;;;;;;;Whimsifoil: volez au-dessus de l'eau!**;;;;;Création et quizz parfum par MOLINARD et ROBERTET**;Météo par SELERYS;Référencement Google par BRAINY UP**;;;Quiz Cinéma par ADASTRA FILMS**;;
;Tabitha Huber;Tabitha;Huber;;;;;;;;;tabithahuber@ecosys.com;;;;;;;;;;;;Whimsifoil: volez au-dessus de l'eau!**;;;;;Whimsifoil : volez au-dessus de l'eau !;Météo par SELERYS;Référencement Google par BRAINY UP**;;;Quiz Cinéma par ADASTRA FILMS**;;
;Mayra House;Mayra;House;;;;;;;;;mayrahouse@hotmail.com;;;;;;;;;;;;Basket par O'SOL**;;;;;Droit de l'innovation TBC**;Biodiversité & Environnement par le CPIE**;Référencement Google par BRAINY UP**;;;Quiz Cinéma par ADASTRA FILMS**;;
;Dixi Carr;Dixi;Carr;;;;;;;;;dixiecarr@genekom.com;;;;;;;;;;;;Pétanque par BLUE BEACON**;;;;;Casse-tete par Enigm'art**;Biodiversité & Environnement par le CPIE**;Référencement Google par BRAINY UP**;;;Quiz Cinéma par ADASTRA FILMS**;;
;Bishop Zimmerman;Bishop;Zimmerman;;;;;;;;;bishopzimmerman@gink.com;;;;;;;;;;;;Kayak**;;;;;Gastronomie azuréenne - live cooking par MONPANIERBLEU.COM**;Biodiversité & Environnement par le CPIE**;Référencement Google par BRAINY UP**;;;Quiz Cinéma par ADASTRA FILMS**;;
;Neva Webb;Neva;Webb;;;;;;;;;nevawebb@unix.com;;;;;;;;;;;;Paddle**;;;;;Gastronomie azuréenne - live cooking par MONPANIERBLEU.COM**;Pétanque par BLUE BEACON**;Branding: comment valoriser votre marque par COULEUR VELVET**;;;Quiz Cinéma par ADASTRA FILMS**;;
;Veronica White;Veronica;White;;;;;;;;;veronicawhite@endipin.com;;;;;;;;;;;;Tir à l'arc**;;;;;"Visite guidée : ""Le Masque de fer : un secret d'Etat?""";Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM**;Branding: comment valoriser votre marque par COULEUR VELVET**;;;Charisme et Leadership**;;
;Charyl Haley;Charyl;Haley;;;;;;;;;cherylhaley@ziggles.com;;;;;;;;;;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;;;;;"Visite guidée : ""Le Masque de fer : un secret d'Etat?""";Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM**;Branding: comment valoriser votre marque par COULEUR VELVET**;;; ;;
;Muller Schneider;Muller;Schneider;;;;;;;;;muellerschneider@zidant.com;;;;;;;;;;;;Comptabilité Gestion par PEPIT**;;;;;Yoga par ETIOLES DES SABLES**;Charisme et Leadership**;Branding: comment valoriser votre marque par COULEUR VELVET**;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;
;Angel Waller;Angel;Waller;;;;;;;;;angelwaller@fren.com;;;;;;;;;;;;Réseaux Sociaux**;;;;;Biodiversité & Environnement par le CPIE**;Charisme et Leadership**;Branding: comment valoriser votre marque par COULEUR VELVET**;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;
;Moore Chavez;Moore;Chavez;;;;;;;;;moorechacez@yum.com;;;;;;;;;;;;Météo: Selerys;;;;;Yoga par ETIOLES DES SABLES**;Ping-Pong**;"Visite guidée : ""Le Masque de fer : un secret d'Etat?""";;;Charisme et Leadership**;;
;Sally Schultz;Sally;Schultz;;;;;;;;;sallyschultz@trez.com;;;;;;;;;;;;Casse-tete par Enigm'art**;;;;;Atelier des sens par LES CONFISERIES FLORIAN**;Ping-Pong**;"Visite guidée : ""Le Masque de fer : un secret d'Etat?""";;;Charisme et Leadership**;;
;Francis Chambers;Francis;Chambers;;;;;;;;;francischambers@klugger.com;;;;;;;;;;;;"Visite guidée:"" Le Masque de fer: un secret d'Etat?""**";;;;;Poker par ALPHA CONSEILS**;Référencement Google par BRAINY UP**;"Visite guidée : ""Le Masque de fer : un secret d'Etat?""";;;Charisme et Leadership**;;
;Nash Trujillo;Nash;Trujillo;;;;;;;;;nashtrujillo@entality.com;;;;;;;;;;;;Charisme et Leadership**;;;;;Massages( atelier contre 1 jeton)**;Comptabilité Gestion par PEPIT**;Tir à l'arc**;;;Charisme et Leadership**;;
;Franks Hardy;Franks;Hardy;;;;;;;;;frankshardy@locazone.com;;;;;;;;;;;;Ping-Pong**;;;;;Basket par O'SOL**;Comptabilité Gestion par PEPIT**;Tir à l'arc**;;;Charisme et Leadership**;;
;Zamora Martinez;Zamora;Martinez;;;;;;;;;zamoramartinez@dadabase.com;;;;;;;;;;;;Yoga par ETOILES DES SABLES;;;;;Pétanque par BLUE BEACON;Droit de l'innovation TBC**;Tir à l'arc**;;;Charisme et Leadership**;;
;Rush Bauer;Rush;Bauer;;;;;;;;;rushbauer@srb.com;;;;;;;;;;;;Référencement Google par BRAINYUP**;;;;;Kayak;Droit de l'innovation TBC**;Tir à l'arc**;;;Charisme et Leadership**;;
